Vehicle
Number          Capacity
5               50

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               58              3               12              56
1               44              56              34              38
2               28              5               26              86
3               86              3               28              55
4               47              19              1               54
5               16              87              37              57
6               25              47              32              38
7               93              8               14              21
8               64              48              14              81
9               5               19              36              86
10              50              22              49              25
