Number          Capacity
10              50

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               89              5               37              78
1               2               56              47              72
2               11              1               21              79
3               8               43              7               23
4               59              88              27              24
5               69              32              37              24
6               18              58              45              98
7               30              78              7               80
8               45              38              30              37
9               66              8               32              45
10              7               60              30              72
11              12              62              38              50
12              45              66              40              21
13              60              38              44              46
14              28              39              8               52
15              50              28              26              67
16              42              3               36              25
17              82              93              29              95
18              13              37              21              73
19              7               52              13              54
20              10              39              2               77
