Vehicle
Number          Capacity
10              80

Customer
Cus No.         XCOORD.         YCOORD.         Volume          ExecTime

0               60              5               38              98
1               69              46              72              95
2               52              77              8               34
3               92              83              54              81
4               38              76              2               78
5               32              16              78              91
6               25              35              7               60
7               83              74              21              117
8               73              55              49              93
9               35              55              39              46
10              62              50              76              46
11              4               98              65              108
12              47              55              57              55
13              60              51              8               43
14              56              2               76              82
15              18              28              80              44
16              68              50              14              76
17              15              1               37              65
18              99              49              43              54
19              24              57              53              21
20              13              35              37              45
21              67              7               20              72
22              93              47              16              39
23              17              34              7               76
24              44              53              4               106
25              33              33              57              120
26              27              86              46              67
27              52              84              25              119
28              84              64              63              89
29              51              9               58              91
30              94              83              44              110
